16:45:11,b'-0.10\r\n'
16:45:11,b'-0.09\r\n'
16:45:11,b'-0.08\r\n'
16:45:11,b'-0.07\r\n'
16:45:11,b'-0.04\r\n'
16:45:11,b'-0.01\r\n'
16:45:11,b'0.00\r\n'
16:45:11,b'-0.01\r\n'
16:45:11,b'-0.02\r\n'
16:45:11,b'-0.04\r\n'
16:45:11,b'-0.06\r\n'
16:45:11,b'-0.05\r\n'
16:45:11,b'-0.05\r\n'
16:45:11,b'-0.04\r\n'
16:45:11,b'-0.01\r\n'
16:45:11,b'0.01\r\n'
16:45:11,b'0.02\r\n'
16:45:11,b'0.03\r\n'
16:45:12,b'0.03\r\n'
16:45:12,b'0.02\r\n'
16:45:12,b'-0.00\r\n'
16:45:12,b'-0.02\r\n'
16:45:12,b'-0.03\r\n'
16:45:12,b'-0.03\r\n'
16:45:12,b'-0.04\r\n'
16:45:12,b'-0.04\r\n'
16:45:12,b'-0.03\r\n'
16:45:12,b'-0.01\r\n'
16:45:12,b'-0.00\r\n'
16:45:12,b'0.00\r\n'
16:45:12,b'0.00\r\n'
16:45:12,b'-0.00\r\n'
16:45:12,b'-0.00\r\n'
16:45:12,b'-0.01\r\n'
16:45:12,b'-0.02\r\n'
16:45:12,b'-0.02\r\n'
16:45:12,b'-0.03\r\n'
16:45:12,b'-0.03\r\n'
16:45:12,b'-0.03\r\n'
16:45:12,b'-0.03\r\n'
16:45:12,b'-0.04\r\n'
16:45:12,b'-0.04\r\n'
16:45:12,b'-0.03\r\n'
16:45:12,b'-0.02\r\n'
16:45:12,b'-0.01\r\n'
16:45:12,b'-0.00\r\n'
16:45:12,b'0.00\r\n'
16:45:12,b'0.00\r\n'
16:45:12,b'0.00\r\n'
16:45:12,b'-0.01\r\n'
16:45:12,b'-0.02\r\n'
16:45:12,b'-0.03\r\n'
16:45:12,b'-0.03\r\n'
16:45:12,b'-0.03\r\n'
16:45:12,b'-0.03\r\n'
16:45:12,b'-0.03\r\n'
16:45:12,b'-0.02\r\n'
16:45:12,b'-0.01\r\n'
16:45:12,b'-0.00\r\n'
16:45:12,b'0.01\r\n'
16:45:12,b'0.00\r\n'
16:45:12,b'0.00\r\n'
16:45:12,b'-0.00\r\n'
